title,authors,year,venue,theme,source
"Examining the Causal Impact of First Names on Language Models: The Case of Social Commonsense Reasoning","Sullam Jeoung; Jana Diesner; Halil Kilicoglu","2023","","","fairface-citing"
"Detection and Intervention Engagement Service Development for New Normal Distance Learning","Bayu Setyawan; Wardani Muhamad; Suhardi Suhardi","2023","","","fairface-citing"
"Studying bias in visual features through the lens of optimal transport","Simone Fabbrizzi; Xuan Zhao; Emmanouil Krasanakis; Symeon Papadopoulos; Eirini Ntoutsi","2023","Data Mining and Knowledge Discovery","","fairface-citing"
"A Layer Selection Method Based on Feature Pyramid Network for Face Attribute Recognition","Gong Gao; Xianhui Liu; Weidong Zhao","2023","SSRN Electronic Journal","","fairface-citing"
"Prediction of Age, Gender, and Ethnicity Using Haar Cascade Algorithm in Convolutional Neural Networks","D. Lakshmi; R. Janaki; V. Subashini; K. Senthil Kumar; C. A. Catherine Aurelia; S Ananya","2023","Algorithms for intelligent systems","","fairface-citing"
"Uncovering Bias in the Face Processing Pipeline: An Analysis of Popular and State-of-the-Art Algorithms Across Demographic Groups","Christian Galea; Chantelle Saliba; Matthew Sacco; Mark Bugeja; Noel Buttigieg; Dylan Seychell","2023","Lecture notes in computer science","","fairface-citing"
"Aspects of multi-task learning: In joint estimation of age, gender and race","Mazida Akhtara Ahmed; Ridip Dev Choudhury; Parvez Aziz Boruah; Khurshid Alam Borbora","2023","AIP conference proceedings","","fairface-citing"
"Considerations and Challenges","Max Smith-Creasey","2023","SpringerBriefs in computer science","","fairface-citing"
"MindSet: A Bias-Detection Interface Using a Visual Human-in-the-Loop Workflow","Senthuran Kalananthan; Alexander Kichutkin; Ziyao Shang; András Strausz; Francisco Javier Sanguino Bautiste; Mennatallah El‐Assady","2024","Communications in computer and information science","","fairface-citing"
"Benchmarking the Fairness of Image Upsampling Methods","Mike Laszkiewicz; Imant Daunhawer; Julia E. Vogt; Asja Fischer; Johannes Lederer","2024","arXiv (Cornell University)","","fairface-citing"
"DBFed: Debiasing Federated Learning Framework based on Domain-Independent","Jiale Li; Zhixin Li; Yibo Wang; Yao Li; Lei Wang","2023","","","fairface-citing"
"Linking convolutional kernel size to generalization bias in face analysis CNNs","Hao Liang; Josue Ortega; Vikram Maheshri; Ankit Patel; Guha Balakrishnan","2024","","","fairface-citing"
"Demographic Bias Mitigation at Test-Time Using Uncertainty Estimation and Human-Machine Partnership","Anoop Krishnan Upendran Nair","2024","SSRN Electronic Journal","","fairface-citing"
"Exploring Fairness-Accuracy Trade-Offs in Binary Classification: A Comparative Analysis Using Modified Loss Functions","C. Trotter; Yixin Chen","2024","","","fairface-citing"
"Comparing activation typicality and sparsity in a deep CNN to predict facial beauty","Sonia Tieo; Melvin Bardin; Roland Bertin-Johannet; Nicolas M. Dibot; Tamra C. Mendelson; William Puech; Julien P. Renoult","2024","Research Square","","fairface-citing"
"A general framework of estimating information leakage for privacy and forensics problems with imperfect statistical information","Shahnewaz Karim Sakib","2023","","","fairface-citing"
"SA-SVD: Mitigating Bias in Face Recognition by Fair Representation Learning","Jia Li; Zhang Hua","2024","","","fairface-citing"
"Attribute-enhanced Selection of Proper Demonstrations for Harmful Meme Detection","Lin Meng; Qinghao Huang; Qianqian Lu; Xianjing Guo; Tao Guo","2024","","","fairface-citing"
"Causal Inference for Confounder-Purify Vision Transformers","Deng‐Feng Yue; Jia Zou; Xiaoxiao Jin; Tuo Leng","2024","","","fairface-citing"
"Hybrid deep Ensemble for Fine-Grained Race Estimation","Mazida Akhtara Ahmed; Ridip Dev Choudhury; Shikhar Kr. Sarma; Khurshid Alam Borbora; M. P. Bhuyan; Utpal Barman","2024","Multimedia Tools and Applications","","fairface-citing"
"Quantifying the Trade-Offs Between Dimensions of Trustworthy AI - An Empirical Study on Fairness, Explainability, Privacy, and Robustness","Nils Kemmerzell; A. F. Schreiner","2024","Lecture notes in computer science","","fairface-citing"
"Facial Ethnicity Classification by Efficiently Learning the Spatial Resolution of Feature Maps","Fazal Waris; Feipeng Da","2024","","","fairface-citing"
"Natural Language Induced Adversarial Images","Xiaopei Zhu; Peiyang Xu; Guanning Zeng; Yinpeng Dong; Xiaolin Hu","2024","","","fairface-citing"
"FLIP-80M: 80 Million Visual-Linguistic Pairs for Facial Language-Image Pre-Training","Yudong Li; Xianxu Hou; Zheng Dezhi; Linlin Shen; Zhe Zhao","2024","","","fairface-citing"
"Bridging the Gap in Facial Age Progression: An Attention Mechanism Approach","Taoli Liu; Yubin Liang; Wenling Wu; Yize Tang","2024","IEEE Access","","fairface-citing"
"Fairness-Sensitive Policy-Gradient Reinforcement Learning for Reducing Bias in Robotic Assistance","Jie Zhu; Mengsha Hu; Amy Zhang; Ruoming Jin; Rui Liu","2024","","","fairface-citing"
"A Relative Data Diversity Measure for Synthetic Face Images","Cancan Zhang; Chaitanya Roygaga; Aparna Bharati","2024","","","fairface-citing"
"An Unconstrained Dataset for Face Recognition Across Distance, Pose, and Resolution","Udaybhan Rathore; Akshay Agarwal","2024","Lecture notes in computer science","","fairface-citing"
"FineFACE: Fair Facial Attribute Classification Leveraging Fine-Grained Features","Ayesha Manzoor; Ajita Rattani","2024","Lecture notes in computer science","","fairface-citing"
"Demographic bias mitigation at test-time using uncertainty estimation and human–machine partnership","Anoop Krishnan; Ajita Rattani","2024","Machine Learning with Applications","","fairface-citing"
"Comparing Activation Typicality and Sparsity in a Deep CNN to Predict Facial Beauty","Sonia Tieo; Melvin Bardin; Roland Bertin-Johannet; Nicolas M. Dibot; Tamra C. Mendelson; William Puech; Julien P. Renoult","2024","Computational Brain & Behavior","","fairface-citing"
"Assessing bias and computational efficiency in vision transformers using early exits","Seth Nixon; Pietro Ruiu; Marinella Cadoni; Andrea Lagorio; Mássimo Tistarelli","2025","EURASIP Journal on Image and Video Processing","","fairface-citing"
"Fine-Grained Rebalancing of Datasets for Correct Demographic Classification","Andrea Bozzitelli; Pia Cavasinni di Benedetto; Maria De Marsico; Xing Di; Vishal M. Patel","2024","","","fairface-citing"
"Do Fairness Interventions Come at the Cost of Privacy: Evaluations for Binary Classifiers","Huan Tian; Guangsheng Zhang; Bo Liu; Tianqing Zhu; Ming Ding; Wanlei Zhou","2025","IEEE Transactions on Dependable and Secure Computing","","fairface-citing"
"Leveraging diffusion and Flow Matching Models for demographic bias mitigation of facial attribute classifiers","Sreeraj Ramachandran; Ajita Rattani","2025","Neurocomputing","","fairface-citing"
"Is ImageNet Pre-Training Fair in Image Classification?","Ryosuke Yamada; Ryo Takahashi; Go Ohtani; Erika MORI; Yoshimitsu Aoki; Hirokatsu Kataoka","2025","Journal of the Japan Society for Precision Engineering","","fairface-citing"
"SING COMPUTER VISION ALGORITHMS TO IDENTIFY MOVING OBJECTS","Г. М. Баенова; K. S. Agadilova; Shakhmaran Seilov; Nurgul Uzakkyzy","2025","Bulletin of Shakarim University Technical Sciences","","fairface-citing"
"TVFace: towards large-scale unsupervised face recognition in video streams","Atif Khurshid; Bostan Khan; Muhammad Shahzad; Muhammad Moazam Fraz","2025","Pattern Analysis and Applications","","fairface-citing"
"Improving Bias in Facial Attribute Classification: A Combined Impact of KL Divergence-Induced Loss Function and Dual Attention","Shweta Patel; Dakshina Ranjan Kisku","2025","Lecture notes in computer science","","fairface-citing"
"Bridging barriers: How COVID-19 changed racial diversity in economics seminars","Marcus Biermann","2025","Economics Letters","","fairface-citing"
"Mapping Visual Politics in the Digital Age: A Descriptive Exploration of Democratic and Autocratic Leaders on Social Media","Eda Keremoğlu; Stefan Scholz; Nils B. Weidmann","2025","","","fairface-citing"
"Latent Traversal as Potential Flows","Yue Song; Thomas Anderson Keller; Nicu Sebe; Max Welling","2025","Synthesis lectures on computer vision","","fairface-citing"
"Enhancing Age and Gender Detection Performance in CNNs Through Optimization of Batch Normalization and Dropout Settings with Iterative Parameter","Sunny Nguyen; Trong Hung Van; Thi Lan Pham","2025","Studies in computational intelligence","","fairface-citing"
"MST-KD: Multiple Specialized Teachers Knowledge Distillation for Fair Face Recognition","Eduarda Caldeira; Jaime S. Cardoso; Ana F. Sequeira; Pedro C. Neto","2025","Lecture notes in computer science","","fairface-citing"
"Differential Privacy and <i>k</i> -Anonymity for Pedestrian Image Data: Impact on Cross-Camera Person Re-Identification and Demographic Predictions","Lucas Maris; Yuki Matsuda; Keiichi Yasumoto","2025","ACM Transactions on Cyber-Physical Systems","","fairface-citing"
"Trustworthy ML Regulation as a Principal-Agent Problem","Mohammad Yaghini; Patty Liu; Andrew Magnuson; Natalie Dullerud; Nicolas Papernot","2025","","","fairface-citing"
"Computational fairness in adaptive neural networks","Sam Leroux; Ciem Cornelissen; Vishisht Sharma; Pieter Simoens","2025","Neural Computing and Applications","","fairface-citing"
"Spatial correlation guided cross scale feature fusion for age and gender estimation","Shiyi Jiang; Qing Ji; Hukui Shi; Che Chen; Xu Yang","2025","Scientific Reports","","fairface-citing"
"Analyzing and mitigating bias of facial attribute classifiers using ChatGPT","Ayesha Manzoor; Bharath Krishnamurthy; Ajita Rattani","2025","Neurocomputing","","fairface-citing"
"Bias Mitigation Strategies for Facial Attribute Classification Leveraging Fine-grained Features and ChatGPT","Ayesha Manzoor","2025","","","fairface-citing"
"Audio-visual occlusion-robust gender recognition and age estimation approach based on multi-task cross-modal attention","Maxim Markitantov; Elena Ryumina; Alexey Karpov","2025","Expert Systems with Applications","","fairface-citing"
"FairGEO: Lightweight Bias Mitigation in Pruned CNNs via Length and Angle Alignment from Geometric Perspectives","Xiyan Xu; Jinjie Lu; Tianlong Gu; Fengrui Hao; Liang Chang","2025","Communications in computer and information science","","fairface-citing"
"Mitigating Replication and Bias in Diffusion-Based Face Image Synthesis Models With Rewards","Malsha V. Perera; Vishal M. Patel","2025","IEEE Transactions on Biometrics Behavior and Identity Science","","fairface-citing"
"Investigating Social Biases in Multimodal LLMs","Malsha V. Perera; Kartik Narayan; Vishal M. Patel","2025","","","fairface-citing"
"MiVOLO: Multi-input Transformer for Age and Gender Estimation","Maksim Kuprashevich; Irina Tolstykh","2025","SSRN Electronic Journal","","fairface-citing"
"Multi-Group Proportional Representation for Text-to-Image Models","Sangwon Jung; Alex Oesterling; Claudio Mayrink Verdun; Sajani Vithana; Taesup Moon; Flávio P. Calmon","2025","","","fairface-citing"
"Collaborative Diffusion with Child Net for Personalized Facial Editing: Integrating Genetic Information","H. R. Sri Priyadharshini; Shriinidhi Laxmanan; S Kumar; R. R. Mithun Karthik; C. J. Sruthi; S Padmavathi","2025","Lecture notes in networks and systems","","fairface-citing"
"Improved Face Recognition Algorithm Based on Mobilefacenet","Min Xu; Zheng Zhang; Tian Xia","2025","SSRN Electronic Journal","","fairface-citing"
"Measuring Descriptive Representation at Scale: Methods for Predicting the Race and Ethnicity of Public Officials","Diana Da In Lee; Yamil Velez","2025","British Journal of Political Science","","fairface-citing"
"Fairness-Aware Active Online Learning with Changing Environments","Sadaf MD Halim; Chen Zhao; Xintao Wu; Latifur Khan; Christan Grant; Feng Chen","2025","","","fairface-citing"
"Privacy preservation through makeup transfer for facial feature obfuscation","Richard Hu; Zheyu Chen; Biao Jin; Zhiqiang Yao","2025","The Journal of Supercomputing","","fairface-citing"
"FairFLRep: Fairness aware fault localization and repair of Deep Neural Networks","Moses Openja; Paolo Arcaini; Foutse Khomh; Fuyuki Ishikawa","2025","ACM Transactions on Software Engineering and Methodology","","fairface-citing"
"Scaling Laws in Zero-Shot Gender Classification Using CLIP","Lucas Mayer Ceschini; Gabriel de Oliveira Ramos; Cláudio R. Jung","2025","","","fairface-citing"
"Affective Evaluation and Face Detection-Based Matching System for Personalized Filters in Photo Booths","Yueying Wu; Youqiang Zhang; Changkeun Lee","2025","","","fairface-citing"
"Fairness is in the Details : Face Dataset Auditing","Victor Lafargue; Emmanuelle Claeys; Jean–Michel Loubes","2025","Lecture notes in computer science","","fairface-citing"
"Facial photographs as proxies for inflammatory aging","Minja Belić; Kevin Schneider; David Furman","2025","bioRxiv (Cold Spring Harbor Laboratory)","","fairface-citing"
"SCOPE: Bridging Explicit and Implicit Privacy Leakage for Quantitative Image Privacy Evaluation","Yunyi Huang; Jiahui Hou; Zhao Chuang; Jie Zhang; Tie Xiao; Xiang‐Yang Li","2025","IEEE Transactions on Information Forensics and Security","","fairface-citing"
"Demographic User Modeling for Social Robotics with Multimodal Pre-trained Models","Hamed Rahimi; Mouad Abrini; Jeanne Malecot; Ying Lai; Adrien Jacquet Crétides; Mahdi Khoramshahi; Mohamed Chétouani","2025","","","fairface-citing"
"Not all AI-generated faces are created equal: impacts of model gender, race, and emotional expression on classification accuracy","Megan Lawrence; Kasey N. E. Cimermanis; Charles A. Collin","2025","AI & Society","","fairface-citing"
"Bias Mitigation in Deep Learning Models for Facial Recognition","Dr. Tomás Alvarez","2025","Scientific Journal of Artificial Intelligence and Blockchain Technologies","","fairface-citing"
"Fine-tuning Bias Neurons for Fair Text-to-Image Generation","Fan Qi; Zhan Wang; Changsheng Xu; Huaiwen Zhang","2025","","","fairface-citing"
"Bimodal Debiasing for Text-to-Image Diffusion: Adaptive Guidance in Textual and Visual Spaces","Yu Liu; Jiajun Sun; Ping Kuang; Rui Zhou; Fan Zhou; Zhikun Feng","2025","","","fairface-citing"
"FaceInsight: A Multimodal Large Language Model for Face Perception","Jingzhi Li; Changjiang Luo; Ruoyu Chen; Hua Zhang; Wenqi Ren; Jianhou Gan; Xiaochun Cao","2025","","","fairface-citing"
"DiffExplainer: Towards cross-modal global explanations with diffusion models","Matteo Pennisi; Giovanni Bellitto; Simone Palazzo; Isaak Kavasidis; Mubarak Shah; Concetto Spampinato","2025","Computer Vision and Image Understanding","","fairface-citing"
"Exploring Biases and Interpretability of Deep Learning Models","Shreya Pulluri; Megha Mohan; Madduri Aditya Vardhan Reddy; Chitresh Simhadri; Mithra Geetha","2025","Lecture notes in networks and systems","","fairface-citing"
"Challenges in AI image generation of underrepresented groups: the case of the indigenous OvaHimba people","Katja Becker; Nicole Vögele; Hartmut Surmann; Dominik Lubos; Tobias Rogowski; Mehmet Ubeyd Yildiz; Abdelrahman Abdelazim; Alphons Kahuhu Koruhama; Heike Winschiers‐Theophilus","2025","","","fairface-citing"
"A Unified Model for Gender Prediction From Either Hand or Face Images via Modality Conditioning and Gating","Mohamed Ait Abderrahmane; Ibrahim Guelzim; Fatima Azzahra Amazal","2025","IEEE Access","","fairface-citing"
"FaceMINT: A library for gaining insights into biometric face recognition via mechanistic interpretability","Peter Rot; Robert Jutreša; Peter Peer; Vitomir Štruc; Walter J. Scheirer; Klemen Grm","2025","Image and Vision Computing","","fairface-citing"
"Rethinking the Training Paradigm of Discrete Token-Based Multimodal LLMs: An Analysis of Text-Centric Bias","Wansik Jo; Jooyeong Na; Soyeon Hong; Seungtaek Choi; Hyunsouk Cho","2025","","","fairface-citing"
"Rep2Face: Synthetic Face Generation with Identity Representation Sampling","Chao Jin; Kexun Li; Jin Liu; Junxian Duan; Huaibo Huang","2025","Lecture notes in computer science","","fairface-citing"
"When Text and Image Meet Face Emotion Retrieval: Benchmark and a Variegated Dataset","Felipe de Oliveira Andrade; Rui Carigé; Arthur Schineider; Luciano Oliveira","2025","","","fairface-citing"
"Debiased Prompt Tuning for Vision-Language Models without Annotations","Chaoquan Jiang; Yunfan Yang; Rui Hu; Jitao Sang","2025","","","fairface-citing"
"Intersectional Bias Quantification in Facial Image Processing with Pre-Trained ImageNet Classifiers","Valerie Krug; Florian Röhrbein; Sebastian Stober","2025","","","fairface-citing"
"Deepfake detection in the era of large models","Chunlei Peng; Junye Li; Decheng Liu; Nannan Wang; Ruimin Hu; Xinbo Gao","2025","Scientia Sinica Informationis","","fairface-citing"
"Comparative Analysis of Artificial Intelligence Models for Facial Image Modification Detection","Diana Levshun; Dmitry Levshun","2025","","","fairface-citing"
"PNRF: Defending against reconstruction attacks in split federated learning via adversarial perturbation on non-robust features","Haoran Liu; Yaochi Zhao; Zhuhua Hu; Like He; Tan Luo; Huaming Wu","2025","Journal of Systems Architecture","","fairface-citing"
"Uneven Bars? Looking for Environmental Microaggression Effects in NCAA Women’s Gymnastics","Tommy Morgan; Seth Cannon","2025","Journal of Sports Economics","","fairface-citing"
"FOOLSDEDIT: Deceptively Steering Your Edits Towards Targeted Attribute-Aware Distribution","Qi Zhou; Dongxia Wang; Tianlin Li; Zhi-Hong Xu; Yang Liu; Kui Ren; Wenhai Wang; Qing Guo","2025","IEEE Transactions on Dependable and Secure Computing","","fairface-citing"
"Emotion Perception in Synthetic Aging: Divergent Insights from Human Perception and Algorithms","Hao Huang; Chaona Chen","2025","Lecture notes in computer science","","fairface-citing"
"Fairness Auditing of Limited-Access Models Using Protected Datasets","Zhaohui Zhu; Marc A. Kastner; Shin’ichi Satoh","2025","IEEE Access","","fairface-citing"
"VCR: Interpretable and interactive debugging of object detection models with visual concepts","Jifeng Xu; Saahir Dhanani; Jorge Piazentin Ono; Wenbin He; Liu Ren; Kexin Rong","2025","Information Systems","","fairface-citing"
"DeepMultiMI: An Improved Approach for Ethnicity Classification Based on Face Images Using Deep Learning","Rasim Alguliyev; Ramiz M. Aliguliyev; Lyudmila Sukhostat","2025","SN Computer Science","","fairface-citing"
"Trueskin: Towards Fair and Accurate Skin Tone Recognition and Generation","Hui Lu","2025","","","fairface-citing"
"Why do we need high-fidelity synthetic eye movement data and how should they look like?","Cheng Qian; Samantha Aziz; Kamrul Hasan; Oleg V. Komogortsev","2025","bioRxiv (Cold Spring Harbor Laboratory)","","fairface-citing"
"Dual Vision Transformer Integration for Race and Gender Recognition Based on Facial Images","Rezky Arisanti Putri; Lilik Anifah; Ricky Eka Putra; Yuni Yamasari; Rafy Aulia Akbar","2025","","","fairface-citing"
"Comparison of Clustering Algorithms on Facial Image Embeddings: K-Means vs. Fuzzy C-Means","Ángel García-Báez; Héctor-Gabriel Acosta-Mesa; Sergio Hernández-Méndez","2025","","","fairface-citing"
"Advanced image processing technique for robust age and gender recognition system","Palvi Soni; Gajendra Tandan","2026","AIP conference proceedings","","fairface-citing"
"FairMoE: Decoupled Expert Learning for Unbiased Customized Face Generation","Yu Jin Han; Wenhao Li; Feng Yang; Shan You; Yi Chen; Chang Xu; Xiu Su","2026","Lecture notes in computer science","","fairface-citing"
"Semi-supervised Classification Method for Class-Imbalanced Medical Images Based on Bias Correction","Hailan Shen; Zihan Wang; Qi Wu; Zailiang Chen","2026","Lecture notes in computer science","","fairface-citing"
"Parsing-Induced Mixture-of-Experts for Facial Age Estimation","Wen Liu; Xiaomei Zhang; Li Gao; Kai Pang; Xu Chang; Hongsen Bi; Zhen Lei","2026","Lecture notes in computer science","","fairface-citing"
"GANDiffKids: Benchmarking Face Recognition for Children on Synthetic Data","Samyak Jain; Sam Louis Ahier; Pietro Melzi; Rubén Tolosana; Rubén Vera-Rodríguez; C. Rathgeb","2025","","","fairface-citing"
"Transfer Learning-Based Ethnicity Recognition Using Arbitrary Images Captured Through Diverse Imaging Sensors","Hasti Soudbakhsh; Sonjoy Ranjon Das; Bilal Hassan; Muhammad Farooq Wasiq","2026","Sensors","","fairface-citing"
"Assessing Demographic Bias and Fairness in Facial Recognition Systems: A Framework","Darian S. R. Rabanni; Italo Duarte Oliveira; Miguel D. S. Wanderley; Cinthya O. Silva; Renato A. Almeida; João Rabello Alvim; Katia Maria Poloni; Gustavo Carneiro Bicalho; Lucas Pellicer","2026","Lecture notes in computer science","","fairface-citing"
"AITTI: Learning Adaptive Inclusive Token for Text-to-Image Generation","Xinyu Hou; Xiaoming Li; Chen Change Loy","2026","International Journal of Computer Vision","","fairface-citing"
"IDSwapMAD: towards privacy-friendly training of differential face morphing attack detection","Adrian Banas; C. Rathgeb; Johannes Merkle; Maxim Schaubert","2026","Journal on Information Security","","fairface-citing"
"Bias-Free? An Empirical Study on Ethnicity, Gender, and Age Fairness in Deepfake Detection","Panda Ak; Tanusree Ghosh; Tushar Choudhary; Ruchira Naskar","2026","ACM Computing Surveys","","fairface-citing"
"Auditing Facial Emotion Recognition Datasets for Posed Expressions and Racial Bias","Rina Khan; Catherine Stinson","2025","","","fairface-citing"
"Fairness without Labels: Pseudo-Balancing for Bias Mitigation in Face Gender Classification","Haohua Dong; Ana Manzano Rodriguez; Camille Guinaudeau; Shin’ichi Satoh","2025","","","fairface-citing"
"FaceScanPaliGemma multi-agent vision language models for facial attribute recognition","Nouar AlDahoul; Myles Joshua Toledo Tan; Harishwar Reddy Kasireddy; Yasir Zaki","2026","Scientific Reports","","fairface-citing"
"How to Train Your Text-to-Image Model: Evaluating Design Choices for Synthetic Training Captions","Manuel Brack; Sudeep Katakol; Felix Friedrich; Patrick Schramowski; Hareesh Ravi; Kristian Kersting; Ajinkya Kale","2025","","","fairface-citing"
"Controlling Domain of Diffusion Models by Applying Product of Experts","Shota Ino; Shugo Yamashita; Hideyuki Ogura; Kei Shibasaki; Masaaki Ikehara","2025","","","fairface-citing"
"COVID-19 YouTube Videos in the Late Pandemic: How Faces Detected on Thumbnails and Alignment of Thumbnails with Titles and Descriptions Relate to Engagement?","Nirmalya Thakur; Fletcher Anderson; Faria Khan; Steve Nathan de Sa","2026","","","fairface-citing"
"Occlusion-Aware Attention Model for Robust Ethnicity Identification","Zherui Zhang; Abhijit Dasgupta; Hazem El-Alfy","2025","","","fairface-citing"
"A Comprehensive Evaluation Framework for the Study of the Effects of Facial Filters on Face Recognition Accuracy","Kağan Öztürk; Louisa Conwill; Jacob Gutierrez; Kevin Bowyer; Walter J. Scheirer","2025","","","fairface-citing"
"A Responsible Face Recognition Approach for Small and Mid-Scale Systems Through Personalized Neural Networks","Sebastian Groß; Stefan Heindorf; Philipp Terhorst","2025","","","fairface-citing"
"Debias-DPO: Debiasing Diffusion-based Face Image Generation with Direct Preference Optimization","Malsha V. Perera; Vishal M. Patel","2025","","","fairface-citing"
"Multi-Attribute guided Thermal Face Image Translation based on Latent Diffusion Model","Mingshu Cai; Osamu Yoshie; Yuya Ieiri","2025","","","fairface-citing"
"Concept Drift Aware Hierarchical Aggregation for Personalised Federated Learning","George Aziz; Obaidullah Zaland; Sajib Mistry; Aneesh Krishna; Monowar Bhuyan","2025","","","fairface-citing"
"Surgeons Are Indian Males and Speech Therapists Are White Females: Auditing Biases in Vision-Language Models for Healthcare Professionals","Zohaib Hasan Siddiqui; Dayam Nadeem; Mohammad Masudur Rahman; Mohammad Nadeem; Shahab Saquib Sohail; Beenish Moalla Chaudhry","2025","","","fairface-citing"
"A Comparative Survey of Social Bias in Text and Image Generation: Gaps, Directions and Compliance with the EU AI Act","Andrei-Cristian Rad; Camelia Lemnaru","2025","","","fairface-citing"
"Debiasing CLIP with Neural Interventions","Amelia Gómez-Grabowska; Jordi Gonzàlez; Lluis Gomez","2026","Lecture notes in computer science","","fairface-citing"
"Facial analysis AI as social pseudotechnology","Päivi Seppälä; Ilmari Hirvonen","2026","European Journal for Philosophy of Science","","fairface-citing"
"Making Machine Learning Accessible for Developmental Science: The Case of Automated Face Detection","Teodor Y. Nikolov; Julia Yurkovic‐Harding; Andrei Foldes; Jessica Bradshaw; Yu‐Kun Lai; Hana D’Souza","2026","Developmental Science","","fairface-citing"
"AdaPrune: A Two-Stage Filter-Select Methods for Visual Token Pruning In Specialized VLMs","Xiuyuan Zhu; Ke Lu; Hao Wu; Jian Xue","2026","","","fairface-citing"
"DAViD: Data-Efficient and Accurate Vision Models from Synthetic Data DAViD also references Michelangelo's David—an iconic symbol of anatomical precision-and the David vs. Goliath story, reflecting our small yet powerful dataset and models.","Fatemeh Saleh; Sadegh Aliakbarian; Charlie Hewitt; Lohit Petikam; Xiao-Xian; Antonio Criminisi; Thomas J; Tadas Baltrušaitis","2025","","","fairface-citing"
"Multi-modal Identity Extraction","Ryan Webster; Teddy Furon","2025","","","fairface-citing"
"Web Artifact Attacks Disrupt Vision Language Models","Maan Qraitem; Piotr Teterwak; Kate Saenko; Bryan A. Plummer","2025","","","fairface-citing"
"Target Bias Is All You Need: Zero-Shot Debiasing of Vision-Language Models With Bias Corpus","Taeuk Jang; Hoin Jung; Xiaoqian Wang","2025","","","fairface-citing"
"Understanding Human-Like Biases in VLMs via Subjective Face Analytics","Chaitanya Roygaga; Aparna Bharati","2026","","","fairface-citing"
"SHaSaM: Submodular Hard Sample Mining for Fair Facial Attribute Recognition","Anay Majee; Rishabh Iyer","2026","","","fairface-citing"
"BAFIS: Dataset + Framework to assess occupational Bias and Human Preference in modern Text-to-image Models","Thomas Klassert; Adrian Ulges; Biying Fu","2026","","","fairface-citing"
"Systematic Analysis of the Unintentional CSAM-Generation-Potential of Text-to-Image Models","Nicolas Göller; Martin Steinebach","2026","","","fairface-citing"
"Ascribed Race and Interactions with Law Enforcement: A Research Note","Jay Jennings; Ajay Singh; Jennifer K. Robbennolt","2026","Criminal Justice Review","","fairface-citing"
"Evaluation of Data Quality Disparity and Implications for Fair Machine Learning","Mohit Sharma; Pratik Mishra; Sandeep Hans; Abhijnan Chakraborty; Vijay Arya","2026","","","fairface-citing"
