"title","year","abstract"
"Understanding and Mitigating Annotation Bias in Facial Expression Recognition","2021","The performance of a computer vision model depends on the size and quality of its training data. Recent studies have unveiled previously-unknown composition biases in common image datasets which then lead to skewed model outputs, and have proposed methods to mitigate these biases. However, most existing works assume that human-generated annotations can be considered gold-standard and unbiased. In this paper, we reveal that this assumption can be problematic, and that special care should be taken to prevent models from learning such annotation biases. We focus on facial expression recognition and compare the label biases between lab-controlled and in-the-wild datasets. We demonstrate that many expression datasets contain significant annotation biases between genders, especially when it comes to the happy and angry expressions, and that traditional methods cannot fully mitigate such biases in trained models. To remove expression annotation bias, we propose an AU-Calibrated Facial Expression Recognition (AUC-FER) framework that utilizes facial action units (AUs) and incorporates the triplet loss into the objective function. Experimental results suggest that the proposed method is more effective in removing expression annotation bias than existing techniques."
"Fairness Testing of Deep Image Classification with Adequacy Metrics","2021","As deep image classification applications, e.g., face recognition, become increasingly prevalent in our daily lives, their fairness issues raise more and more concern. It is thus crucial to comprehensively test the fairness of these applications before deployment. Existing fairness testing methods suffer from the following limitations: 1) applicability, i.e., they are only applicable for structured data or text without handling the high-dimensional and abstract domain sampling in the semantic level for image classification applications; 2) functionality, i.e., they generate unfair samples without providing testing criterion to characterize the model's fairness adequacy. To fill the gap, we propose DeepFAIT, a systematic fairness testing framework specifically designed for deep image classification applications. DeepFAIT consists of several important components enabling effective fairness testing of deep image classification applications: 1) a neuron selection strategy to identify the fairness-related neurons; 2) a set of multi-granularity adequacy metrics to evaluate the model's fairness; 3) a test selection algorithm for fixing the fairness issues efficiently. We have conducted experiments on widely adopted large-scale face recognition applications, i.e., VGGFace and FairFace. The experimental results confirm that our approach can effectively identify the fairness-related neurons, characterize the model's fairness, and select the most valuable test cases to mitigate the model's fairness issues."
"Decoding biological age from face photographs using deep learning","2023","Because humans age at different rates, a person's physical appearance may yield insights into their biological age and physiological health more reliably than their chronological age. In medicine, however, appearance is incorporated into medical judgments in a subjective and non-standardized fashion. In this study, we developed and validated FaceAge, a deep learning system to estimate biological age from easily obtainable and low-cost face photographs. FaceAge was trained on data from 58,851 healthy individuals, and clinical utility was evaluated on data from 6,196 patients with cancer diagnoses from two institutions in the United States and The Netherlands. To assess the prognostic relevance of FaceAge estimation, we performed Kaplan Meier survival analysis. To test a relevant clinical application of FaceAge, we assessed the performance of FaceAge in end-of-life patients with metastatic cancer who received palliative treatment by incorporating FaceAge into clinical prediction models. We found that, on average, cancer patients look older than their chronological age, and looking older is correlated with worse overall survival. FaceAge demonstrated significant independent prognostic performance in a range of cancer types and stages. We found that FaceAge can improve physicians' survival predictions in incurable patients receiving palliative treatments, highlighting the clinical utility of the algorithm to support end-of-life decision-making. FaceAge was also significantly associated with molecular mechanisms of senescence through gene analysis, while age was not. These findings may extend to diseases beyond cancer, motivating using deep learning algorithms to translate a patient's visual appearance into objective, quantitative, and clinically useful measures."
"Measuring Representation of Race, Gender, and Age in Children’s Books: Face Detection and Feature Classification in Illustrated Images","2022",""
"Can Less be More? When Increasing-to-Balancing Label Noise Rates Considered Beneficial","2021","In this paper, we answer the question of when inserting label noise (less informative labels) can instead return us more accurate and fair models. We are primarily inspired by three observations: 1) In contrast to reducing label noise rates, increasing the noise rates is easy to implement; 2) Increasing a certain class of instances' label noise to balance the noise rates (increasing-to-balancing) results in an easier learning problem; 3) Increasing-to-balancing improves fairness guarantees against label bias. In this paper, we first quantify the trade-offs introduced by increasing a certain group of instances' label noise rate w.r.t. the loss of label informativeness and the lowered learning difficulties. We analytically demonstrate when such an increase is beneficial, in terms of either improved generalization power or the fairness guarantees. Then we present a method to insert label noise properly for the task of learning with noisy labels, either without or with a fairness constraint. The primary technical challenge we face is due to the fact that we would not know which data instances are suffering from higher noise, and we would not have the ground truth labels to verify any possible hypothesis. We propose a detection method that informs us which group of labels might suffer from higher noise without using ground truth labels. We formally establish the effectiveness of the proposed solution and demonstrate it with extensive experiments."
"Market Design Choices, Racial Discrimination, and Equitable Micro-Entrepreneurship in Digital Marketplaces","2022",""
"Deepfake Videos in the Wild: Analysis and Detection","2021","AI-manipulated videos, commonly known as deepfakes, are an emerging problem. Recently, researchers in academia and industry have contributed several (self-created) benchmark deepfake datasets, and deepfake detection algorithms. However, little effort has gone towards understanding deepfake videos in the wild, leading to a limited understanding of the real-world applicability of research contributions in this space. Even if detection schemes are shown to perform well on existing datasets, it is unclear how well the methods generalize to real-world deepfakes. To bridge this gap in knowledge, we make the following contributions: First, we collect and present the largest dataset of deepfake videos in the wild, containing 1,869 videos from YouTube and Bilibili, and extract over 4.8M frames of content. Second, we present a comprehensive analysis of the growth patterns, popularity, creators, manipulation strategies, and production methods of deepfake content in the real-world. Third, we systematically evaluate existing defenses using our new dataset, and observe that they are not ready for deployment in the real-world. Fourth, we explore the potential for transfer learning schemes and competition-winning techniques to improve defenses."
"Fair Federated Learning for Heterogeneous Face Data.","2021","We consider the problem of achieving fair classification in Federated Learning (FL) under data heterogeneity. Most of the approaches proposed for fair classification require diverse data that represent the different demographic groups involved. In contrast, it is common for each client to own data that represents only a single demographic group. Hence the existing approaches cannot be adopted for fair classification models at the client level. To resolve this challenge, we propose several aggregation techniques. We empirically validate these techniques by comparing the resulting fairness metrics and accuracy on CelebA, UTK, and FairFace datasets."
"Evaluating and mitigating unfairness in multimodal remote mental health assessments","2023","Abstract Research on automated mental health assessment tools has been growing in recent years, often aiming to address the subjectivity and bias that existed in the current clinical practice of the psychiatric evaluation process. Despite the substantial health and economic ramifications, the potential unfairness of those automated tools was understudied and required more attention. In this work, we systematically evaluated the fairness level in a multimodal remote mental health dataset and an assessment system, where we compared the fairness level in race, gender, education level, and age. Demographic parity ratio (DPR) and equalized odds ratio (EOR) of classifiers using different modalities were compared, along with the F1 scores in different demographic groups. Post-training classifier threshold optimization was employed to mitigate the unfairness. No statistically significant unfairness was found in the composition of the dataset. Varying degrees of unfairness were identified among modalities, with no single modality consistently demonstrating better fairness across all demographic variables. Post-training mitigation effectively improved both DPR and EOR metrics at the expense of a decrease in F1 scores. Addressing and mitigating unfairness in these automated tools are essential steps in fostering trust among clinicians, gaining deeper insights into their use cases, and facilitating their appropriate utilization. Author summary In this work, we systematically explored and discussed the unfairness reporting and mitigation of automated mental health assessment tools. These tools are becoming increasingly important in mental health practice, especially with the rise of telehealth services and large language model applications. However, they often carry inherent biases. Without proper assessment and mitigation, they potentially lead to unfair treatment of certain demographic groups and significant harm. Proper unfairness reporting and mitigation of these tools is the first step to building trust among clinicians and patients and ensuring appropriate application. Using our previously developed multimodal mental health assessment system, we evaluated the unfairness level of using various types of features of the subjects for mental health assessment, including facial expressions, acoustic features of the voice, emotions expressed through language, general language representations generated by large language models, and cardiovascular patterns detected from the face. We analyzed the system’s fairness across different demographics: race, gender, education level, and age. We found no single modality consistently fair across all demographics. While unfairness mitigation methods improved the fairness level, we found a trade-off between the performance and the fairness level, calling for broader moral discussion and investigation on the topic."
"Dsap: Analyzing Bias Through Demographic Comparison of Datasets","2024",""
"PrimateFace: A Machine Learning Resource for Automated Face Analysis in Human and Non-human Primates","2025","Abstract Machine learning has revolutionized human face analysis, but equivalent tools for non-human primates remain limited and species-specific, hindering progress in neuroscience, anthropology, and conservation. Here, we present PrimateFace, a comprehensive, cross-species platform for primate facial analysis comprising a systematically curated dataset of 260,000+ images spanning over 60 genera, including a genus-balanced subset of 60,000 images, annotated with bounding boxes and facial landmark configurations. Face detection and facial landmark estimation models trained on PrimateFace achieve high cross-species performance, from tarsiers to gorillas, achieving performance comparable to baseline models trained exclusively on human data (0.34 vs. 0.39 mAP for face detection; 0.061 vs. 0.053 normalized landmark error), demonstrating the generalization benefits of cross-species training. PrimateFace enables diverse downstream applications including individual recognition, gaze analysis, and automated extraction of stereotyped (e.g., lip-smacking) and subtle (e.g., soft left turn) facial movements. PrimateFace provides a standardized platform for facial phenotyping across the primate order, empowering data-driven studies that advance the health and well-being of human and non-human primates. All models, notebooks, and data can be found at github.com/KordingLab/PrimateFace ."
"Metrics for Dataset Demographic Bias: A Case Study on Facial Expression Recognition","2023","Demographic biases in source datasets have been shown as one of the causes of unfairness and discrimination in the predictions of Machine Learning models. One of the most prominent types of demographic bias are statistical imbalances in the representation of demographic groups in the datasets. In this paper, we study the measurement of these biases by reviewing the existing metrics, including those that can be borrowed from other disciplines. We develop a taxonomy for the classification of these metrics, providing a practical guide for the selection of appropriate metrics. To illustrate the utility of our framework, and to further understand the practical characteristics of the metrics, we conduct a case study of 20 datasets used in Facial Emotion Recognition (FER), analyzing the biases present in them. Our experimental results show that many metrics are redundant and that a reduced subset of metrics may be sufficient to measure the amount of demographic bias. The paper provides valuable insights for researchers in AI and related fields to mitigate dataset bias and improve the fairness and accuracy of AI models. The code is available at https://github.com/irisdominguez/dataset_bias_metrics."
"Adaptive Temperature Distillation Method for Mining Hard Sample's Knowledge","2023",""
"Canonical Saliency Maps: Decoding Deep Face Models","2021","As Deep Neural Network models for face processing tasks approach human-like performance, their deployment in critical applications such as law enforcement and access control has seen an upswing, where any failure may have far-reaching consequences. We need methods to build trust in deployed systems by making their working as transparent as possible. Existing visualization algorithms are designed for object recognition and do not give insightful results when applied to the face domain. In this work, we present 'Canonical Saliency Maps', a new method that highlights relevant facial areas by projecting saliency maps onto a canonical face model. We present two kinds of Canonical Saliency Maps: image-level maps and model-level maps. Image-level maps highlight facial features responsible for the decision made by a deep face model on a given image, thus helping to understand how a DNN made a prediction on the image. Model-level maps provide an understanding of what the entire DNN model focuses on in each task and thus can be used to detect biases in the model. Our qualitative and quantitative results show the usefulness of the proposed canonical saliency maps, which can be used on any deep face model regardless of the architecture."
"Fairness Properties of Face Recognition and Obfuscation Systems","2021","The proliferation of automated face recognition in the commercial and government sectors has caused significant privacy concerns for individuals. One approach to address these privacy concerns is to employ evasion attacks against the metric embedding networks powering face recognition systems: Face obfuscation systems generate imperceptibly perturbed images that cause face recognition systems to misidentify the user. Perturbed faces are generated on metric embedding networks, which are known to be unfair in the context of face recognition. A question of demographic fairness naturally follows: are there demographic disparities in face obfuscation system performance? We answer this question with an analytical and empirical exploration of recent face obfuscation systems. Metric embedding networks are found to be demographically aware: face embeddings are clustered by demographic. We show how this clustering behavior leads to reduced face obfuscation utility for faces in minority groups. An intuitive analytical model yields insight into these phenomena."
"Explainability Requires Interactivity","2021","When explaining the decisions of deep neural networks, simple stories are tempting but dangerous. Especially in computer vision, the most popular explanation approaches give a false sense of comprehension to its users and provide an overly simplistic picture. We introduce an interactive framework to understand the highly complex decision boundaries of modern vision models. It allows the user to exhaustively inspect, probe, and test a network's decisions. Across a range of case studies, we compare the power of our interactive approach to static explanation methods, showing how these can lead a user astray, with potentially severe consequences."
"Detecting Harmful Memes and Their Targets","2021","Among the various modes of communication in social media, the use of Internet memes has emerged as a powerful means to convey political, psychological, and socio-cultural opinions. Although memes are typically humorous in nature, recent days have witnessed a proliferation of harmful memes targeted to abuse various social entities. As most harmful memes are highly satirical and abstruse without appropriate contexts, off-the-shelf multimodal models may not be adequate to understand their underlying semantics. In this work, we propose two novel problem formulations: detecting harmful memes and the social entities that these harmful memes target. To this end, we present HarMeme, the first benchmark dataset, containing 3,544 memes related to COVID-19. Each meme went through a rigorous two-stage annotation process. In the first stage, we labeled a meme as very harmful, partially harmful, or harmless; in the second stage, we further annotated the type of target(s) that each harmful meme points to: individual, organization, community, or society/general public/other. The evaluation results using ten unimodal and multimodal models highlight the importance of using multimodal signals for both tasks. We further discuss the limitations of these models and we argue that more research is needed to address these problems."
"A Hybrid Algorithm for Face Detection to Avoid Racial Inequity Due to Dark Skin","2021","There has been significant development in the facial recognition technology during past few decades. This technology has been widely used by different organizations and governments for defense, security, and surveillance projects. Furthermore, it has now been incorporated into our daily usages, such as consumer applications, personal data protection, or cyber-security, particularly while using smartphones. Most of these systems work very efficient, however, there are some challenges related to the accuracy of results of facial recognition systems when tested on images of people with dark skin. As a matter of fact, various studies demonstrate higher accuracy when tested on data set with white skin personnel, while exhibit a much lesser accuracy when the same algorithms are tested on dataset of people with dark skin. This article highlights the variation in accuracy of existing facial recognition algorithms when applied to dark-skinned people. Furthermore, as a principal contribution it presents a hybrid algorithm based on Gaussian and Explicit rule model that improves the accuracy for face-detection for dark skinned people. Thorough experimental evaluation has been conducted with a data set of black faces by first identifying skin and non-skin regions and then applying skin segmentation. The results have been compared with existing face detection algorithms with a clear improvement in the accuracy of 89% for dark skin."
"Natural contrast statistics facilitate human face categorization","2022","The ability to detect faces in the environment is of utmost ecological importance for human social adaptation. While face categorization is efficient, fast and robust to sensory degradation, it is massively impaired when the facial stimulus does not match the natural contrast statistics of this visual category, i.e., the typically experienced ordered alternation of relatively darker and lighter regions of the face. To clarify this phenomenon, we characterized the contribution of natural contrast statistics to face categorization. Specifically, 31 human adults viewed various natural images of non-face categories at a rate of 12 Hz, with highly variable images of faces occurring every eight stimuli (1.5 Hz). As in previous studies, neural responses at 1.5 Hz as measured with high-density EEG provided an objective neural index of face categorization. Here, when face images were shown in their naturally experienced contrast statistics, the 1.5 Hz face categorization response emerged over occipito-temporal electrodes at very low contrast (5.1%, or .009 root-mean-square, RMS, contrast), quickly reaching optimal amplitude at 22.6% of contrast (i.e., RMS contrast of .041). Despite contrast negation preserving an image's spectral and geometrical properties, negative contrast images required twice as much contrast to trigger a face categorization response, and three times as much to reach optimum. These observations characterize how the internally stored natural contrast statistics of the face category facilitate visual processing for the sake of fast and efficient face categorization."
"Shifting Our Awareness, Taking Back Tags: Temporal Changes in Computer Vision Services’ Social Behaviors","2022","Much attention has been on the behaviors of computer vision services when describing images of people. Audits have revealed rampant biases that could lead to harm, when services are used by developers and researchers. We focus on temporal auditing, replicating experiments originally conducted three years ago. We document the changes observed over time, relating this to the growing awareness of structural oppression and the need to align technology with social values. While we document some positive changes in the services’ behaviors, such as increased accuracy in the use of gender-related tags overall, we also replicate findings concerning larger error rates for images of Black individuals. In addition, we find cases of increased use of inferential tags (e.g., emotions), which are often sensitive. The analysis underscores the difficulty in following changes in services’ behaviors over time, and the need for more oversight of such services."
"Multimodal Adversarial Learning","2022","Deep Convolutional Neural Networks (DCNN) have proven to be an exceptional tool for object recognition, generative modelling, and multi-modal learning in various computer vision applications. However, recent findings have shown that such state-of-the-art models can be easily deceived by inserting slight imperceptible perturbations to key pixels in the input. A good target detection systems can accurately identify targets by localizing their coordinates on the input image of interest. This is ideally achieved by labeling each pixel in an image as a background or a potential target pixel. However, prior research still confirms that such state of the art targets models are susceptible to adversarial attacks. In the case of generative models, facial sketches drawn by artists mostly used by law enforcement agencies depend on the ability of the artist to clearly replicate all the key facial features that aid in capturing the true identity of a subject. Recent works have attempted to synthesize these sketches into plausible visual images to improve visual recognition and identification. However, synthesizing photo-realistic images from sketches proves to be an even more challenging task, especially for sensitive applications such as suspect identification. However, the incorporation of hybrid discriminators, which perform attribute classification of multiple target attributes, a quality guided encoder that minimizes the perceptual dissimilarity of the latent space embedding of the synthesized and real image at different layers in the network have shown to be powerful tools towards better multi modal learning techniques. In general, our overall approach was aimed at improving target detection systems and the visual appeal of synthesized images while incorporating multiple attribute assignment to the generator without compromising the identity of the synthesized image. We synthesized sketches using XDOG filter for the CelebA, Multi-modal and CelebA-HQ datasets and from an auxiliary generator trained on sketches from CUHK, IIT-D and FERET datasets. Our results overall for different model applications are impressive compared to current state of the art."
"CAST: Conditional Attribute Subsampling Toolkit for Fine-grained Evaluation","2023","Thorough evaluation is critical for developing models that are fair and robust. In this work, we describe the Conditional Attribute Subsampling Toolkit (CAST) for selecting data subsets for fine-grained scientific evaluations. Our toolkit efficiently filters data given an arbitrary number of conditions for metadata attributes. The purpose of the toolkit is to allow researchers to easily to evaluate models on targeted test distributions. The functionality of CAST is demonstrated on the WebFace42M face Recognition dataset. We calculate over 50 attributes for this dataset including race, image quality, facial features, and accessories. Using our toolkit, we create over a hundred test sets conditioned on one or multiple attributes. Results are presented for subsets of various demographics and image quality ranges. Using eleven different subsets, we build a face recognition 1:1 verification benchmark called C11 that exclusively contains pairs that are near the decision threshold. Evaluation on C11 with state-of-the-art methods demonstrates the suitability of the proposed benchmark. The toolkit is publicly available at https://github.com/WesRobbins/CAST."
"A Differentiable Distance Approximation for Fairer Image Classification","2023",""
"A Recognition Method of Masked Face","2023","映像に映る人物を特定する人物識別技術は，スマートフォンにおける個人認証や，イベント会場での入退場管理，映像データへの索引付けなどにおいて非常に有用な技術である．人物識別における課題のひとつとして，顔の隠ぺいによる精度低下が挙げられる．近年，新型コロナウイルス感染症の影響によってマスクを着用する機会が増えており，マスクによる隠ぺいに対応した手法が求められている．そこで本稿では，マスクを着用している人物についても，精度よく認識できる顔認識手法を提案する．具体的には，マスクの合成による学習データの拡張手法と，ニューラルネットワークの構造，補助タスクを用いた学習手法を提案する．評価実験では，テレビ番組映像から作成した独自のデータセット，顔認識用のベンチマークデータセット，およびマスク実画像データセットを用いて既存手法との性能比較を実施し，提案手法の有効性を検証する．"
"Deteksi Wanita Berhijab dan tidak Berhijab dengan menggunakan Metode Mask RCNN","2022","Setiap santriwati yang tinggal di pesantren wajib menggunakan hijab. Untuk melakukan control dan monitoring penggunaan hijab di pesantren saat ini masih dilakukan secara manual oleh pihak keamanan. Proses control dan monitoring yang dilakukan secara manual ini membutuhkan waktu dan proses yang lama serta membutuhkan sumber daya manusia yang banyak. Untuk membantu mengatasi permasalahan yang ada, maka dibutuhkan sistem yang dapat memonitoring pemakaian hijab secara otomatis. Pada penelitian ini diusulkan menggunakan metode MASK RCNN untuk mendeteksi objek wanita yang tidak berhijab dan wanita yang berhijab dari gambar digital. Dataset yang digunakan pada penelitian ini terdapat 3 kategori yaitu wanita berhijab syar’i, wanita berhijab tidak syar’i, dan wanita tidak berhijab yang memiliki 4 class yaitu wajah, rambut, hijab syar’i, hijab non syar’i. Proses yang dilakukan pada metode tersebut terdapat 2 tahapan yaitu data training dan data testing. Data training yang digunakan adalah 1500 citra digital setiap kategori berjumlah 500 citra digital dan data testing yaitu digunakan 150 gambar setiap kategori berjumlah 50 gambar. Model ini dilatih dengan metode MASK RCNN data training memperoleh epoch 30 dengan nilai loss 0,1770, nilai val_loss 0,1745 dan waktu 473s 946ms/step. Hasil eksperimen menunjukkan bahwa metode yang diusulkan dapat mendeteki hijab syar’i dengan tingkat akurasi 96%, hijab tidak syar’i dengan tingkat akurasi 96 % dan tidak berhijab dengan tingkat akurasi 94%."
"Tag-based annotation creates better avatars","2023","<title>Abstract</title> Avatar creation from human images allows users to customize their digital figures in different styles. Existing rendering systems like Bitmoji, MetaHuman, and Google Cartoonset provide expressive rendering systems that serve as excellent design tools for users. However, twenty-plus parameters, some including hundreds of options, must be tuned to achieve ideal results. Thus it is challenging for users to create the perfect avatar. A machine learning model could be trained to predict avatars from images, however the annotators who label pairwise training data have the same difficulty as users, causing high label noise. In addition, each new rendering system or version update requires thousands of new training pairs. In this paper, we propose a Tag-based annotation method for avatar creation. Compared to direct annotation of labels, the proposed method: produces higher annotator agreements, causes machine learning to generates more consistent predictions, and only requires a marginal cost to add new rendering systems."
"Examining the Causal Impact of First Names on Language Models: The Case of Social Commonsense Reasoning","2023","As language models continue to be integrated into applications of personal and societal relevance, ensuring these models’ trustworthiness is crucial, particularly with respect to producing consistent outputs regardless of sensitive attributes. Given that first names may serve as proxies for (intersectional) socio-demographic representations, it is imperative to examine the impact of first names on commonsense reasoning capabilities. In this paper, we study whether a model’s reasoning given a specific input differs based on the first names provided. Our underlying assumption is that the reasoning about Alice should not differ from the reasoning about James. We propose and implement a controlled experimental framework to measure the causal effect of first names on commonsense reasoning, enabling us to distinguish between model predictions due to chance and caused by actual factors of interest. Our results indicate that the frequency of first names has a direct effect on model prediction, with less frequent names yielding divergent predictions compared to more frequent names. To gain insights into the internal mechanisms of models that are contributing to these behaviors, we also conduct an in-depth explainable analysis. Overall, our findings suggest that to ensure model robustness, it is essential to augment datasets with more diverse first names during the configuration stage."
"Detection and Intervention Engagement Service Development for New Normal Distance Learning","2023","The trend of using video conferencing applications for distance learning has increased during the pandemic and the new normal period. Distance learning offers a solution to overcome distance and time differences through the use of new information technology that can be continuously updated. However, distance learning also presents challenges and problems in engaging learners. It is important to know how the level of learner’s engagement are during distance learning. To determine the engagement level of learners in distance learning, a detector is needed that can reach learners who are not visible to the instructor. Along with detection, interventions to improve engagement in distance learning are also necessary to maintain high levels of learner engagement. Previous studies on the detection of engagement with computer vision based on facial emotion expressions have not implemented interventions in their research. This research accommodates engagement interventions in distance learning based on the level of engagement that has been detected by engagement detection services. Distance learning using this service prototype shows that the level of student engagement is maintained."
"Studying bias in visual features through the lens of optimal transport","2023","Abstract Computer vision systems are employed in a variety of high-impact applications. However, making them trustworthy requires methods for the detection of potential biases in their training data, before models learn to harm already disadvantaged groups in downstream applications. Image data are typically represented via extracted features, which can be hand-crafted or pre-trained neural network embeddings. In this work, we introduce a framework for bias discovery given such features that is based on optimal transport theory; it uses the (quadratic) Wasserstein distance to quantify disparity between the feature distributions of two demographic groups (e.g., women vs men). In this context, we show that the Kantorovich potentials of the images, which are a byproduct of computing the Wasserstein distance and act as “transportation prices"", can serve as bias scores by indicating which images might exhibit distinct biased characteristics. We thus introduce a visual dataset exploration pipeline that helps auditors identify common characteristics across high- or low-scored images as potential sources of bias. We conduct a case study to identify prospective gender biases and demonstrate theoretically-derived properties with experiments on the CelebA and Biased MNIST datasets."
"A Layer Selection Method Based on Feature Pyramid Network for Face Attribute Recognition","2023",""
"Prediction of Age, Gender, and Ethnicity Using Haar Cascade Algorithm in Convolutional Neural Networks","2023",""
"Uncovering Bias in the Face Processing Pipeline: An Analysis of Popular and State-of-the-Art Algorithms Across Demographic Groups","2023",""
"Aspects of multi-task learning: In joint estimation of age, gender and race","2023",""
"Considerations and Challenges","2023",""
"MindSet: A Bias-Detection Interface Using a Visual Human-in-the-Loop Workflow","2024",""
"Benchmarking the Fairness of Image Upsampling Methods","2024","Recent years have witnessed a rapid development of deep generative models for creating synthetic media, such as images and videos. While the practical applications of these models in everyday tasks are enticing, it is crucial to assess the inherent risks regarding their fairness. In this work, we introduce a comprehensive framework for benchmarking the performance and fairness of conditional generative models. We develop a set of metrics$\unicode{x2013}$inspired by their supervised fairness counterparts$\unicode{x2013}$to evaluate the models on their fairness and diversity. Focusing on the specific application of image upsampling, we create a benchmark covering a wide variety of modern upsampling methods. As part of the benchmark, we introduce UnfairFace, a subset of FairFace that replicates the racial distribution of common large-scale face datasets. Our empirical study highlights the importance of using an unbiased training set and reveals variations in how the algorithms respond to dataset imbalances. Alarmingly, we find that none of the considered methods produces statistically fair and diverse results. All experiments can be reproduced using our provided repository."
"DBFed: Debiasing Federated Learning Framework based on Domain-Independent","2023","As digital transformation continues, enterprises are generating, managing, and storing vast amounts of data, while artificial intelligence technology is rapidly advancing. However, it brings challenges in information security and data security. Data security refers to the protection of digital information from unauthorized access, damage, theft, etc. throughout its entire life cycle. With the promulgation and implementation of data security laws and the emphasis on data security and data privacy by organizations and users, Privacy-preserving technology represented by federated learning has a wide range of application scenarios. Federated learning is a distributed machine learning computing framework that allows multiple subjects to train joint models without sharing data to protect data privacy and solve the problem of data islands. However, the data among multiple subjects are independent of each other, and the data differences in quality may cause fairness issues in federated learning modeling, such as data bias among multiple subjects, resulting in biased and discriminatory models. Therefore, we propose DBFed, a debiasing federated learning framework based on domain-independent, which mitigates model bias by explicitly encoding sensitive attributes during client-side training. This paper conducts experiments on three real datasets and uses five evaluation metrics of accuracy and fairness to quantify the effect of the model. Most metrics of DBFed exceed those of the other three comparative methods, fully demonstrating the debiasing effect of DBFed."
"Linking convolutional kernel size to generalization bias in face analysis CNNs","2024","Training dataset biases are by far the most scrutinized factors when explaining algorithmic biases of neural networks. In contrast, hyperparameters related to the neural network architecture have largely been ignored even though different network parameterizations are known to induce different implicit biases over learned features. For example, convolutional kernel size is known to affect the frequency content of features learned in CNNs. In this work, we present a causal framework for linking an architectural hyperparameter to out-of-distribution algorithmic bias. Our framework is experimental, in that we train several versions of a network with an intervention to a specific hyperparameter, and measure the resulting causal effect of this choice on performance bias when a particular out-of-distribution image perturbation is applied. In our experiments, we focused on measuring the causal relationship between convolutional kernel size and face analysis classification bias across different subpopulations (race/gender), with respect to high-frequency image details. We show that modifying kernel size, even in one layer of a CNN, changes the frequency content of learned features significantly across data subgroups leading to biased generalization performance even in the presence of a balanced dataset."
"Demographic Bias Mitigation at Test-Time Using Uncertainty Estimation and Human-Machine Partnership","2024",""
"Exploring Fairness-Accuracy Trade-Offs in Binary Classification: A Comparative Analysis Using Modified Loss Functions","2024","In this paper, we explore the trade-off between fairness and accuracy when data is biased and unbiased. We introduce two versions of a modified loss function: Group Equity and Group Equality Binary Cross Entropy (BCE). Both functions add the maximum group loss to the standard BCE loss and use a hyperparameter to adjust its significance. Group Equity BCE is more suited for unbiased data, while Group Equality BCE is useful for heavily bias data. We test both by training logistic regression models on Home Mortgage Disclosure Act (HMDA) data. We evaluate our data and models using multiple fairness metrics, including p-value and statistical parity difference. We observe race and race-sex group bias. Our results show that Group Equity BCE maintains high accuracy while slightly improving group fairness. Group Equality BCE in- creases group fairness substantially. However, there is usually a steep decline in accuracy."
"Comparing activation typicality and sparsity in a deep CNN to predict facial beauty","2024",""
"A general framework of estimating information leakage for privacy and forensics problems with imperfect statistical information","2023","In today's digitally-driven world, addressing information leakage stands as a paramount concern, spanning data privacy, corporate security, and national interests. It centers around safeguarding personal data, preventing identity theft, and mitigating financial fraud risks, while also encompassing the protection of corporate secrets and the preservation of national security. The implications are far-reaching, impacting trust, reputation, financial stability, and individual safety. Information leakage is typically defined as the increased likelihood of an adversary accurately guessing a legitimate user's private data or any related information when they have access to the user's publicly disclosed data. Traditionally, quantifying information leakage has relied on the assumption that the adversary possesses full statistical knowledge of the privacy mechanism. However, this assumption often does not hold in real-world situations, as adversaries frequently lack complete statistical knowledge of the combined statistics of private, utility, and disclosed data. Consequently, the conventional leakage metrics fail to hold operational significance in scenarios where the adversary lacks such information. This underscores the need for leakage metrics that can effectively capture privacy leakage in these real-world conditions. In this work, we have addressed these limitations and introduced a novel approach to quantify information leakage when the adversary's knowledge of the privacy mechanism is incomplete. We have presented a set of innovative information-theoretic metrics, including average subjective leakage, average confidence boost, and average objective leakage. Additionally, we have analyzed the properties of these metrics and explored the problem of designing the optimal privacy mechanism that minimizes privacy leakage even in the worst-case scenario while ensuring utility of the proposed mechanism. Furthermore, this work extends these metrics to encompass large-scale datasets in a non-Bayesian framework, which is prevalent in contemporary scenarios. We investigate how these proposed metrics can enhance our understanding of adversarial actions and their potential consequences. We rigorously assess the performance of these metrics using real-world numeric and image datasets, employing various machine learning techniques, and provide a comparative analysis with Bayesian inference methods."
"SA-SVD: Mitigating Bias in Face Recognition by Fair Representation Learning","2024","Rapid advancements in face recognition systems have revolutionized the field, enabling the efficiency and accuracy of various applications. Despite the significant progress achieved, these systems still face various challenges, with one important issue revolving around the potential biases and unfairness they may exhibit. These systems are likely to exhibit homogeneity bias, which refers to their tendency to erroneously classify faces belonging to the same gender or ethnic group together. Empirical observations indicate that the current representations of face data do not fully exploit the inherent dimension and expressive capacity of the representation space, leading to a diversity gap in representations for various groups. Consequently, under-utilized representation space for minority groups leads to bias in face recognition. In this paper, to enhance the representation space utilization and reduce disparities among different demographic groups, we introduce SA-SVD, a regularization method orthogonal to existing face recognition methods. It has the potential to capture the intricate patterns and subtle differences in face features across individuals within certain demographic groups. Extensive experiments demonstrate our method’s effectiveness in mitigating biased outcomes and achieving superior performance on two benchmark datasets VGGFace2 and CelebA."
